# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sun May 29 05:24:22 2022
#
# User preference: *
#
# CONSTRAINT:  order by pl_insol desc
#
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter Radius]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter Radius]
# COLUMN pl_radjlim:     Planet Radius Limit Flag
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassjerr1:  Planet Mass or Mass*sin(i) [Jupiter Mass] Upper Unc.
# COLUMN pl_bmassjerr2:  Planet Mass or Mass*sin(i) [Jupiter Mass] Lower Unc.
# COLUMN pl_bmassjlim:   Planet Mass or Mass*sin(i) [Jupiter Mass] Limit Flag
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_insolerr1:   Insolation Flux Upper Unc. [Earth Flux]
# COLUMN pl_insolerr2:   Insolation Flux Lower Unc. [Earth Flux]
# COLUMN pl_insollim:    Insolation Flux Limit Flag
#
# pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim
1.44259231,0.00000487,-0.00000487,0,0.028400,,,0,,,,,,,,,12557.23,9301.91,-7901.93,0
1.44259224,0.00000219,-0.00000219,0,0.028400,,,0,,,,,,,,,12557.23,14996.17,-7298.43,0
,,,,,,,,0.153,0.017,-0.013,0,,,,,10436.60,1680.39,-1370.67,0
,,,,,,,,0.214,0.018,-0.016,0,,,,,10171.00,396.52,-380.43,0
1.13854821,0.00000270,-0.00000270,0,0.022000,,,0,,,,,,,,,9805.45,6021.02,-5589.86,0
1.88823780,0.00000150,-0.00000150,0,0.036320,0.000740,-0.000870,0,1.384,0.079,-0.074,0,12.90000,1.80000,-1.60000,0,9110.00,170.00,-170.00,0
,,,,,,,,0.144,0.009,-0.008,0,,,,,8159.93,488.21,-456.29,0
1.13854338,0.00000259,-0.00000259,0,0.021700,,,0,,,,,,,,,8028.94,10269.35,-4315.49,0
1.13854338,0.00000259,-0.00000259,0,0.021700,,,0,,,,,,,,,8028.94,10269.35,-4315.49,0
1.13854338,0.00000259,-0.00000259,0,0.021700,,,0,,,,,,,,,8028.94,10269.35,-4315.49,0
0.53835407,0.00000067,-0.00000067,0,0.012700,,,0,,,,,,,,,7609.22,2977.95,-2913.75,0
0.92103050,0.00000299,-0.00000299,0,0.019200,,,0,,,,,,,,,7380.64,3027.37,-3065.21,0
,,,,,,,,9.712,1.403,-1.277,0,,,,,7282.96,378.87,-357.89,0
0.92990668,0.00000075,-0.00000075,0,0.019500,,,0,,,,,,,,,7201.70,12480.88,-3106.67,0
0.92990668,0.00000075,-0.00000075,0,0.019500,,,0,,,,,,,,,7201.70,12480.88,-3106.67,0
0.92990668,0.00000075,-0.00000075,0,0.019500,,,0,,,,,,,,,7201.70,12480.88,-3106.67,0
0.98494167,0.00000307,-0.00000307,0,0.020100,,,0,,,,,,,,,7044.68,2815.50,-3063.53,0
5.54608367,0.00000709,-0.00000709,0,0.078000,,,0,,,,,,,,,7027.09,2733.33,-4809.00,0
5.54608367,0.00000709,-0.00000709,0,0.078000,,,0,,,,,,,,,7027.09,2733.33,-4809.00,0
5.54608367,0.00000709,-0.00000709,0,0.078000,,,0,,,,,,,,,7027.09,2733.33,-4809.00,0
5.54608309,0.00000826,-0.00000826,0,0.078000,,,0,,,,,,,,,7027.09,2437.78,-5901.49,0
,,,,,,,,0.259,0.016,-0.025,0,,,,,6797.62,609.70,-546.40,0
0.68996783,0.00000050,-0.00000050,0,0.015100,,,0,,,,,,,,,6665.50,17366.35,-5440.42,0
0.68996783,0.00000050,-0.00000050,0,0.015100,,,0,,,,,,,,,6665.50,17366.35,-5440.42,0
0.68996783,0.00000050,-0.00000050,0,0.015100,,,0,,,,,,,,,6665.50,17366.35,-5440.42,0
0.92990617,0.00000078,-0.00000078,0,0.019100,,,0,,,,,,,,,6514.57,3148.46,-2514.21,0
0.53835431,0.00000067,-0.00000067,0,0.012800,,,0,,,,,,,,,5882.38,6952.34,-1637.45,0
0.53835431,0.00000067,-0.00000067,0,0.012800,,,0,,,,,,,,,5882.38,6952.34,-1637.45,0
0.53835431,0.00000067,-0.00000067,0,0.012800,,,0,,,,,,,,,5882.38,6952.34,-1637.45,0
0.94145223,0.00000024,-0.00000024,0,0.020240,0.000290,-0.000310,0,1.240,0.079,-0.079,0,10.20000,0.35000,-0.35000,0,5805.00,808.00,-639.00,0
,,,,,,,,0.106,0.006,-0.022,0,,,,,5760.94,149.80,-145.50,0
0.69297968,0.00000149,-0.00000149,0,0.015200,,,0,,,,,,,,,5635.00,6138.69,-1731.05,0
0.69297968,0.00000149,-0.00000149,0,0.015200,,,0,,,,,,,,,5635.00,6138.69,-1731.05,0
0.69297968,0.00000149,-0.00000149,0,0.015200,,,0,,,,,,,,,5635.00,6138.69,-1731.05,0
2.74432120,0.00000150,-0.00000150,0,,,,,,,,,,,,,5626.34,,,
3.34484120,0.00000330,-0.00000330,0,0.054500,0.001300,-0.001500,0,1.940,0.060,-0.058,0,1.41000,0.43000,-0.51000,0,5550.00,1250.00,-630.00,0
1.25275388,0.00000223,-0.00000223,0,0.023900,,,0,,,,,,,,,5545.35,2235.30,-2431.33,0
2.65044000,0.00002000,-0.00002000,0,,,,,,,,,,,,,5400.94,,,
2.65023700,0.00000300,-0.00000300,0,0.046000,0.002000,-0.002000,0,1.490,0.050,-0.050,0,3.12000,0.18000,-0.18000,0,5300.00,500.00,-470.00,0
0.67737516,0.00000125,-0.00000125,0,0.014900,,,0,,,,,,,,,5267.01,2498.38,-1506.61,0
0.67737516,0.00000125,-0.00000125,0,0.014900,,,0,,,,,,,,,5267.01,2498.38,-1506.61,0
0.67737516,0.00000125,-0.00000125,0,0.014900,,,0,,,,,,,,,5267.01,2498.38,-1506.61,0
0.66502594,0.00000153,-0.00000153,0,0.015300,,,0,,,,,,,,,5246.66,2093.36,-1017.36,0
,,,,,,,,0.113,0.030,-0.013,0,,,,,5228.78,519.22,-462.50,0
0.69384266,0.00000162,-0.00000162,0,0.014800,,,0,,,,,,,,,5182.78,2864.21,-2295.80,0
,,,,,,,,0.115,0.006,-0.005,0,,,,,5067.60,135.34,-131.63,0
0.47025386,0.00000649,-0.00000649,0,,,,,,,,,,,,,5028.88,,,
0.69384285,0.00000159,-0.00000159,0,0.015400,,,0,,,,,,,,,4912.96,5321.99,-1929.35,0
0.69384285,0.00000159,-0.00000159,0,0.015400,,,0,,,,,,,,,4912.96,5321.99,-1929.35,0
0.69384285,0.00000159,-0.00000159,0,0.015400,,,0,,,,,,,,,4912.96,5321.99,-1929.35,0
0.78951800,0.00006000,-0.00006000,0,0.016730,0.000530,-0.000530,0,0.146,0.032,-0.032,0,,,,,4895.00,2087.00,-2087.00,0
,,,,,,,,0.168,0.023,-0.019,0,,,,,4852.41,944.74,-746.32,0
,,,,,,,,0.125,0.016,-0.014,0,,,,,4849.26,947.04,-760.20,0
0.93511586,0.00000263,-0.00000263,0,0.019300,,,0,,,,,,,,,4811.82,2013.65,-1592.53,0
,,,,,,,,0.094,0.005,-0.006,0,,,,,4793.00,275.46,-258.10,0
3.34287000,0.00050000,-0.00050000,0,,,,,,,,,,,,,4769.64,,,
,,,,,,,,0.172,0.016,-0.014,0,,,,,4756.32,240.08,-225.34,0
,,,,,,,,0.093,0.006,-0.005,0,,,,,4712.11,164.84,-159.25,0
1.74457900,0.00000800,-0.00000800,0,0.033800,0.000300,-0.000300,0,1.470,0.100,-0.100,0,19.70000,1.60000,-1.60000,0,4650.00,370.00,-370.00,0
0.44654700,0.00006400,-0.00006400,0,,,,,,,,,,,,,4628.63,,,
0.99165965,0.00000795,-0.00000795,0,0.020500,,,0,,,,,,,,,4614.18,1950.29,-1169.03,0
0.67737469,0.00000110,-0.00000110,0,0.015000,,,0,,,,,,,,,4572.56,1997.25,-1123.40,0
3.30890700,0.00009800,-0.00009800,0,,,,,,,,,,,,,4557.44,,,
,,,,,,,,0.371,0.080,-0.060,0,,,,,4505.30,2022.40,-1237.43,0
0.67565040,0.00000239,-0.00000239,0,0.015300,,,0,,,,,,,,,4473.06,4551.59,-1391.57,0
0.67564949,0.00000255,-0.00000255,0,0.015300,,,0,,,,,,,,,4473.06,5707.39,-1262.19,0
0.67564949,0.00000255,-0.00000255,0,0.015300,,,0,,,,,,,,,4473.06,5707.39,-1262.19,0
0.67564949,0.00000255,-0.00000255,0,0.015300,,,0,,,,,,,,,4473.06,5707.39,-1262.19,0
0.93488424,0.00000087,-0.00000087,0,0.018400,,,0,,,,,,,,,4435.29,12133.85,-3672.42,0
0.93488536,0.00000091,-0.00000091,0,0.018400,,,0,,,,,,,,,4435.29,8252.09,-3775.76,0
0.93488424,0.00000087,-0.00000087,0,0.018400,,,0,,,,,,,,,4435.29,12133.85,-3672.42,0
0.93488424,0.00000087,-0.00000087,0,0.018400,,,0,,,,,,,,,4435.29,12133.85,-3672.42,0
0.66930969,0.00000053,-0.00000053,0,0.015200,,,0,,,,,,,,,4418.23,2323.92,-1002.05,0
0.66930969,0.00000053,-0.00000053,0,0.015200,,,0,,,,,,,,,4418.23,2323.92,-1002.05,0
0.66930969,0.00000053,-0.00000053,0,0.015200,,,0,,,,,,,,,4418.23,2323.92,-1002.05,0
0.90037592,0.00000334,-0.00000334,0,0.018600,,,0,,,,,,,,,4399.18,2057.88,-1599.65,0
3.47410850,0.00000190,-0.00000190,0,0.054200,0.001400,-0.002100,0,1.741,0.069,-0.074,0,3.38200,,,1,4362.50,595.20,-536.40,0
,,,,,,,,1.465,0.062,-0.059,0,,,,,4353.41,95.91,-93.80,0
0.66502692,0.00000160,-0.00000160,0,0.015100,,,0,,,,,,,,,4339.54,4629.03,-1173.95,0
0.66502692,0.00000160,-0.00000160,0,0.015100,,,0,,,,,,,,,4339.54,4629.03,-1173.95,0
0.66502692,0.00000160,-0.00000160,0,0.015100,,,0,,,,,,,,,4339.54,4629.03,-1173.95,0
0.57133600,0.00002000,-0.00002000,0,0.013120,0.000140,-0.000140,0,0.162,0.018,-0.012,0,0.02832,0.00503,-0.00503,0,4293.00,483.00,-483.00,0
2.20473542,0.00000004,-0.00000004,0,0.037600,,,0,,,,,,,,,4148.92,651.59,-654.46,0
0.52417609,0.00000072,-0.00000072,0,0.012600,,,0,,,,,,,,,4133.52,4003.73,-986.51,0
0.52417609,0.00000072,-0.00000072,0,0.012600,,,0,,,,,,,,,4133.52,4003.73,-986.51,0
0.52417609,0.00000072,-0.00000072,0,0.012600,,,0,,,,,,,,,4133.52,4003.73,-986.51,0
,,,,,,,,0.135,0.008,-0.007,0,,,,,4124.02,164.17,-157.16,0
,,,,,,,,0.104,0.005,-0.005,0,,,,,4102.01,106.75,-104.35,0
,,,,,,,,0.169,0.007,-0.017,0,,,,,4097.32,111.18,-108.43,0
3.84937150,0.00000130,-0.00000130,0,0.054800,,,0,,,,,,,,,4055.29,1837.19,-1919.87,0
3.84937150,0.00000130,-0.00000130,0,0.054800,,,0,,,,,,,,,4055.29,1837.19,-1919.87,0
3.84937150,0.00000130,-0.00000130,0,0.054800,,,0,,,,,,,,,4055.29,1837.19,-1919.87,0
3.84937174,0.00000234,-0.00000234,0,0.054800,,,0,,,,,,,,,4055.29,1643.78,-2336.51,0
0.34184202,0.00000023,-0.00000023,0,0.008900,,,0,,,,,,,,,3991.16,1597.04,-949.26,0
1.22622396,0.00000443,-0.00000443,0,0.021800,,,0,,,,,,,,,3973.86,1715.86,-1666.20,0
2.20473536,0.00000004,-0.00000004,0,0.038100,,,0,,,,,,,,,3973.70,279.95,-264.48,0
2.20473536,0.00000004,-0.00000004,0,0.038100,,,0,,,,,,,,,3973.70,279.95,-264.48,0
2.20473536,0.00000004,-0.00000004,0,0.038100,,,0,,,,,,,,,3973.70,279.95,-264.48,0
0.93511806,0.00000276,-0.00000276,0,0.018800,,,0,,,,,,,,,3940.07,4779.74,-1305.32,0
0.93511806,0.00000276,-0.00000276,0,0.018800,,,0,,,,,,,,,3940.07,4779.74,-1305.32,0
0.93511806,0.00000276,-0.00000276,0,0.018800,,,0,,,,,,,,,3940.07,4779.74,-1305.32,0
2.76122421,0.00001477,-0.00001477,0,0.043500,,,0,,,,,,,,,3906.36,3406.65,-2739.16,0
2.76122421,0.00001477,-0.00001477,0,0.043500,,,0,,,,,,,,,3906.36,3406.65,-2739.16,0
2.76122421,0.00001477,-0.00001477,0,0.043500,,,0,,,,,,,,,3906.36,3406.65,-2739.16,0
2.76122370,0.00002052,-0.00002052,0,0.043500,,,0,,,,,,,,,3906.36,2880.81,-2913.18,0
1.54492888,0.00000006,-0.00000006,0,0.027600,,,0,,,,,,,,,3878.74,2332.80,-1649.84,0
1.54492888,0.00000006,-0.00000006,0,0.027600,,,0,,,,,,,,,3878.74,2332.80,-1649.84,0
1.54492888,0.00000006,-0.00000006,0,0.027600,,,0,,,,,,,,,3878.74,2332.80,-1649.84,0
1.60917880,0.00000400,-0.00000400,0,0.030320,0.000150,-0.000150,0,1.685,0.047,-0.047,0,1.45000,0.12000,-0.12000,0,3821.00,153.00,-147.00,0
1.54492889,0.00000006,-0.00000006,0,0.027400,,,0,,,,,,,,,3765.46,1865.84,-1429.20,0
,,,,,,,,0.069,0.004,-0.005,0,,,,,3743.28,68.82,-67.94,0
,,,,,,,,0.133,0.006,-0.006,0,,,,,3741.78,79.69,-78.31,0
0.66931009,0.00000059,-0.00000059,0,0.014900,,,0,,,,,,,,,3643.96,1449.66,-796.61,0
0.83749122,0.00000030,-0.00000030,0,0.016700,,,0,,,,,,,,,3630.32,654.58,-443.61,0
,,,,,,,,1.170,0.053,-0.050,0,,,,,3583.67,115.38,-112.02,0
,,,,,,,,0.153,0.024,-0.041,0,,,,,3567.57,120.23,-115.61,0
0.83749133,0.00000027,-0.00000027,0,0.016800,,,0,,,,,,,,,3545.07,259.09,-244.87,0
0.83749133,0.00000027,-0.00000027,0,0.016800,,,0,,,,,,,,,3545.07,259.09,-244.87,0
0.83749133,0.00000027,-0.00000027,0,0.016800,,,0,,,,,,,,,3545.07,259.09,-244.87,0
1.34155513,0.00000370,-0.00000370,0,0.023300,,,0,,,,,,,,,3537.74,5017.58,-1925.20,0
1.34155513,0.00000370,-0.00000370,0,0.023300,,,0,,,,,,,,,3537.74,5017.58,-1925.20,0
1.34155513,0.00000370,-0.00000370,0,0.023300,,,0,,,,,,,,,3537.74,5017.58,-1925.20,0
2.79096300,0.00006800,-0.00006800,0,0.044700,0.001900,-0.001900,0,1.517,0.401,-0.401,0,,,,,3515.00,1732.00,-1732.00,0
,,,,,,,,0.060,0.004,-0.003,0,,,,,3496.49,89.41,-87.25,0
3.30895800,0.00008300,-0.00008300,0,0.052080,0.000640,-0.000680,0,1.545,0.052,-0.060,0,1.01700,0.07000,-0.06800,0,3440.00,184.00,-191.00,0
3.93766786,0.00003442,-0.00003442,0,0.055500,,,0,,,,,,,,,3388.82,1199.11,-1737.79,0
4.15246118,0.00001584,-0.00001584,0,0.061600,,,0,,,,,,,,,3354.56,1208.44,-2007.41,0
,,,,,,,,0.127,0.010,-0.008,0,,,,,3345.45,259.52,-237.32,0
0.78883852,0.00000075,-0.00000082,0,0.016520,0.000500,-0.000560,0,1.415,0.044,-0.048,0,1.15400,0.07800,-0.08000,0,3320.00,190.00,-180.00,0
,,,,,,,,0.119,0.007,-0.005,0,,,,,3304.10,70.22,-69.13,0
,,,,,,,,1.367,0.073,-0.250,0,,,,,3273.32,222.24,-204.96,0
1.61189046,0.00000430,-0.00000430,0,0.028500,,,0,,,,,,,,,3267.98,1541.40,-1379.79,0
1.51842990,0.00019910,-0.00019910,0,0.026400,,,0,,,,,,,,,3261.65,5617.05,-1404.08,0
1.51841810,0.00021210,-0.00021210,0,0.026400,,,0,,,,,,,,,3261.65,2997.74,-1483.39,0
1.51842990,0.00019910,-0.00019910,0,0.026400,,,0,,,,,,,,,3261.65,5617.05,-1404.08,0
1.51842990,0.00019910,-0.00019910,0,0.026400,,,0,,,,,,,,,3261.65,5617.05,-1404.08,0
1.00809200,0.00012300,-0.00012300,0,,,,,,,,,,,,,3254.39,,,
0.99166527,0.00000784,-0.00000784,0,0.020300,,,0,,,,,,,,,3206.91,5034.82,-890.26,0
0.99166527,0.00000784,-0.00000784,0,0.020300,,,0,,,,,,,,,3206.91,5034.82,-890.26,0
0.99166527,0.00000784,-0.00000784,0,0.020300,,,0,,,,,,,,,3206.91,5034.82,-890.26,0
6.24668005,0.00002647,-0.00002647,0,0.073300,,,0,,,,,,,,,3192.12,661.84,-568.20,0
6.24668005,0.00002647,-0.00002647,0,0.073300,,,0,,,,,,,,,3192.12,661.84,-568.20,0
6.24668005,0.00002647,-0.00002647,0,0.073300,,,0,,,,,,,,,3192.12,661.84,-568.20,0
1.67832545,0.00000201,-0.00000201,0,0.028800,,,0,,,,,,,,,3180.75,5802.79,-1476.62,0
1.67832545,0.00000201,-0.00000201,0,0.028800,,,0,,,,,,,,,3180.75,5802.79,-1476.62,0
1.67832545,0.00000201,-0.00000201,0,0.028800,,,0,,,,,,,,,3180.75,5802.79,-1476.62,0
0.90037648,0.00000363,-0.00000363,0,0.018700,,,0,,,,,,,,,3160.48,1948.48,-748.33,0
0.90037648,0.00000363,-0.00000363,0,0.018700,,,0,,,,,,,,,3160.48,1948.48,-748.33,0
0.90037648,0.00000363,-0.00000363,0,0.018700,,,0,,,,,,,,,3160.48,1948.48,-748.33,0
14.80075082,0.00004039,-0.00004039,0,0.163300,,,0,,,,,,,,,3158.09,2258.59,-2193.80,0
2.87175180,0.00000280,-0.00000280,0,0.045500,0.000670,-0.000690,0,1.570,0.042,-0.036,0,1.18000,0.11000,-0.11000,0,3152.00,242.00,-220.00,0
,,,,,,,,0.106,0.005,-0.021,0,,,,,3111.32,98.18,-95.25,0
6.24667547,0.00002787,-0.00002787,0,0.070900,,,0,,,,,,,,,3095.83,823.53,-606.19,0
,,,,,,,,0.086,0.005,-0.005,0,,,,,3094.82,140.78,-133.66,0
1.64422103,0.00000595,-0.00000595,0,0.029300,,,0,,,,,,,,,3071.95,1416.69,-959.78,0
0.93846683,0.00000095,-0.00000095,0,0.018600,,,0,,,,,,,,,3070.23,3522.25,-899.71,0
0.93846683,0.00000095,-0.00000095,0,0.018600,,,0,,,,,,,,,3070.23,3522.25,-899.71,0
0.93846683,0.00000095,-0.00000095,0,0.018600,,,0,,,,,,,,,3070.23,3522.25,-899.71,0
0.57103835,0.00000068,-0.00000068,0,0.012600,,,0,,,,,,,,,3069.59,547.14,-696.13,0
0.52417580,0.00000082,-0.00000082,0,0.012300,,,0,,,,,,,,,3049.23,835.70,-389.42,0
,,,,,,,,0.169,0.007,-0.023,0,,,,,3021.19,54.67,-53.83,0
1.29123308,0.00000571,-0.00000571,0,0.024200,,,0,,,,,,,,,2993.70,2475.79,-957.71,0
0.83784340,0.00000047,-0.00000047,0,0.017610,0.000270,-0.000270,0,1.337,0.102,-0.049,0,1.98000,0.07700,-0.07700,0,2990.00,350.00,-350.00,0
0.67933675,0.00000082,-0.00000082,0,0.014800,,,0,,,,,,,,,2982.78,913.26,-501.97,0
,,,,,,,,0.110,0.008,-0.006,0,,,,,2959.34,107.81,-104.18,0
3.61276470,0.00000330,-0.00000330,0,0.052240,0.000350,-0.000340,0,1.586,0.039,-0.040,0,3.91000,,,1,2950.00,169.00,-169.00,0
,,,,,,,,0.116,0.006,-0.006,0,,,,,2949.56,84.95,-82.35,0
0.57103852,0.00000042,-0.00000042,0,0.012900,,,0,,,,,,,,,2949.01,2567.73,-699.21,0
0.57103852,0.00000042,-0.00000042,0,0.012900,,,0,,,,,,,,,2949.01,2567.73,-699.21,0
0.57103852,0.00000042,-0.00000042,0,0.012900,,,0,,,,,,,,,2949.01,2567.73,-699.21,0
,,,,,,,,0.189,0.012,-0.012,0,,,,,2948.36,148.09,-140.24,0
,,,,,,,,0.145,0.008,-0.007,0,,,,,2944.00,118.71,-113.86,0
0.63816320,0.00000168,-0.00000168,0,0.013500,,,0,,,,,,,,,2928.31,7725.64,-936.27,0
0.63816293,0.00000192,-0.00000192,0,0.013500,,,0,,,,,,,,,2928.31,2160.65,-1083.57,0
0.63816320,0.00000168,-0.00000168,0,0.013500,,,0,,,,,,,,,2928.31,7725.64,-936.27,0
0.63816320,0.00000168,-0.00000168,0,0.013500,,,0,,,,,,,,,2928.31,7725.64,-936.27,0
1.82708230,0.00000044,-0.00000044,0,0.027600,,,0,,,,,,,,,2925.17,7201.86,-2478.72,0
1.82708230,0.00000044,-0.00000044,0,0.027600,,,0,,,,,,,,,2925.17,7201.86,-2478.72,0
1.82708193,0.00000047,-0.00000047,0,0.027600,,,0,,,,,,,,,2925.17,5492.75,-2509.08,0
1.82708230,0.00000044,-0.00000044,0,0.027600,,,0,,,,,,,,,2925.17,7201.86,-2478.72,0
0.93846696,0.00000094,-0.00000094,0,0.018200,,,0,,,,,,,,,2919.17,1189.69,-929.75,0
0.76213231,0.00000380,-0.00000380,0,0.016200,,,0,,,,,,,,,2913.14,1051.78,-477.21,0
0.74092842,0.00000185,-0.00000185,0,0.015300,,,0,,,,,,,,,2909.21,3639.84,-783.06,0
0.74092636,0.00000184,-0.00000184,0,0.015300,,,0,,,,,,,,,2909.21,2097.90,-879.59,0
0.74092842,0.00000185,-0.00000185,0,0.015300,,,0,,,,,,,,,2909.21,3639.84,-783.06,0
0.74092842,0.00000185,-0.00000185,0,0.015300,,,0,,,,,,,,,2909.21,3639.84,-783.06,0
0.53991503,0.00000151,-0.00000151,0,0.012100,,,0,,,,,,,,,2901.68,530.10,-546.80,0
,,,,,,,,0.460,0.050,-0.043,0,,,,,2885.66,359.55,-308.45,0
1.49515130,0.00001197,-0.00001197,0,0.025700,,,0,,,,,,,,,2880.38,1257.57,-1211.70,0
,,,,,,,,0.121,0.007,-0.006,0,,,,,2830.91,88.78,-86.32,0
2.05333679,0.00000413,-0.00000413,0,0.031600,,,0,,,,,,,,,2823.41,3463.22,-1363.17,0
2.05333679,0.00000413,-0.00000413,0,0.031600,,,0,,,,,,,,,2823.41,3463.22,-1363.17,0
2.05333679,0.00000413,-0.00000413,0,0.031600,,,0,,,,,,,,,2823.41,3463.22,-1363.17,0
1.90780520,0.00000246,-0.00000246,0,0.029600,,,0,,,,,,,,,2820.62,5445.72,-1962.63,0
1.90780520,0.00000246,-0.00000246,0,0.029600,,,0,,,,,,,,,2820.62,5445.72,-1962.63,0
1.90780520,0.00000246,-0.00000246,0,0.029600,,,0,,,,,,,,,2820.62,5445.72,-1962.63,0
,,,,,,,,0.099,0.007,-0.008,0,,,,,2809.16,214.02,-195.26,0
,,,,,,,,0.089,0.005,-0.005,0,,,,,2775.00,95.91,-92.14,0
